rank	name	childcount	min	max	mode	median	mean	stddev
genus	Thermosediminibacter	1	3	3	3	3	3	0
genus	Selenomonas	2	4	7		5.5	5.5	1.5
genus	GpXI	1	2	2	2	2	2	0
genus	Maricaulis	1	2	2	2	2	2	0
genus	Segniliparus	1	1	1	1	1	1	0
genus	Glaciecola	4	4	6	5	5	5	0.71
genus	Desulfurobacterium	1	2	2	2	2	2	0
genus	Acidobacterium	1	1	1	1	1	1	0
genus	Sphingomonas	3	2	3	2	2	2.33	0.47
genus	Rhodopirellula	1	1	1	1	1	1	0
genus	Desulfobacterium	1	6	6	6	6	6	0
genus	Magnetococcus	1	3	3	3	3	3	0
genus	Methylomicrobium	1	3	3	3	3	3	0
genus	Rubrobacter	1	1	1	1	1	1	0
genus	Tropheryma	2	1	1	1	1	1	0
genus	Chlamydia	74	2	3	2	2	2.04	0.2
genus	Olivibacter	1	4	4	4	4	4	0
genus	Desulfotomaculum	6	3	10	8	8	7	2.31
genus	Pyrolobus	1	1	1	1	1	1	0
genus	Parvularcula	1	1	1	1	1	1	0
genus	Thermanaerovibrio	1	3	3	3	3	3	0
genus	Thermosipho	1	3	3	3	3	3	0
genus	Moraxella	2	4	4	4	4	4	0
genus	Rhizobium	14	3	5	3	3	3.36	0.61
genus	Nitrobacter	2	1	1	1	1	1	0
genus	Bifidobacterium	36	2	5	4	4	3.36	0.85
genus	Aggregatibacter	5	6	6	6	6	6	0
genus	Propionibacterium	11	2	4	3	3	3	0.43
genus	Dinoroseobacter	1	2	2	2	2	2	0
genus	Conexibacter	1	1	1	1	1	1	0
genus	Oenococcus	1	2	2	2	2	2	0
genus	Leifsonia	2	1	1	1	1	1	0
genus	Kitasatospora	1	9	9	9	9	9	0
genus	Leptothrix	1	2	2	2	2	2	0
genus	Exiguobacterium	4	9	9	9	9	9	0
genus	Rhodothermus	2	1	1	1	1	1	0
genus	Sphingopyxis	1	1	1	1	1	1	0
genus	Arthrobacter	6	4	6	6	5.5	5.33	0.75
genus	Streptococcus	115	1	7	4	4	4.78	1.09
genus	Saccharophagus	1	2	2	2	2	2	0
genus	Salinibacter	1	1	1	1	1	1	0
genus	Pusillimonas	1	2	2	2	2	2	0
genus	Chloroherpeton	1	1	1	1	1	1	0
genus	Spiroplasma	8	1	2	1	1	1.12	0.33
genus	Anaerostipes	1	1	1	1	1	1	0
genus	Halanaerobium	2	4	4	4	4	4	0
genus	Sphaerochaeta	2	4	4	4	4	4	0
genus	Tetragenococcus	1	5	5	5	5	5	0
genus	Kutzneria	1	3	3	3	3	3	0
genus	Thermovirga	1	3	3	3	3	3	0
genus	Diaphorobacter	2	3	3	3	3	3	0
